bed_id,block_idx,status,crop,variety,wave_id,family,water,notes,conflict_details,color,alpha,border_style,run_id
3,3,CROP,Lettuce (Mixed),Allstar Gourmet Mix,Lettuce (Mixed):Allstar Gourmet Mix:2026-02-14,Baby Greens,medium-high,Overflow lettuce,,#2E8B57,1.0,solid,12
3,4,CROP,Lettuce (Mixed),Allstar Gourmet Mix,Lettuce (Mixed):Allstar Gourmet Mix:2026-02-14,Baby Greens,medium-high,Overflow lettuce,,#2E8B57,1.0,solid,12
3,5,CROP,Lettuce (Mixed),Allstar Gourmet Mix,Lettuce (Mixed):Allstar Gourmet Mix:2026-02-14,Baby Greens,medium-high,Overflow lettuce,,#2E8B57,1.0,solid,12
3,6,CROP,Lettuce (Mixed),Allstar Gourmet Mix,Lettuce (Mixed):Allstar Gourmet Mix:2026-02-14,Baby Greens,medium-high,Overflow lettuce,,#2E8B57,1.0,solid,12
3,7,BENEFICIAL,,,,,,,,#B3D9FF,1.0,solid,13
3,8,CROP,Spinach,Corvair,Spinach:Corvair:2026-02-14,Baby Greens,medium,Spice strip component,,#2E8B57,0.7,dashed,14
3,9,CROP,Chicory,Gourmet Blend,Chicory:Gourmet Blend:2026-02-14,Baby Greens,medium,Spice strip component,,#2E8B57,0.7,dashed,15
3,10,CROP,Mustard Greens,Wasabina,Mustard Greens:Wasabina:2026-02-14,Baby Greens,medium,Spice strip component,,#2E8B57,0.7,dashed,16
3,11,CROP,Radishes,Sora,Radishes:Sora:2026-02-14,Root Vegetable,low-medium,Spice strip component,,#D97A1E,1.0,solid,17
3,12,EMPTY,,,,,,,,#F2F2F2,1.0,solid,18
3,13,EMPTY,,,,,,,,#F2F2F2,1.0,solid,18
3,14,EMPTY,,,,,,,,#F2F2F2,1.0,solid,18
3,15,FLOWER,,,,,,,,#E6A8D7,1.0,solid,19
4,0,FLOWER,,,,,,,,#E6A8D7,1.0,solid,20
4,1,CROP,Broccoli,Belstar F1,Broccoli:Belstar F1:2026-02-14,Brassica,medium-high,Brassica block - nettable bed,,#6A9A1F,1.0,solid,21
4,2,CROP,Broccoli,Belstar F1,Broccoli:Belstar F1:2026-02-14,Brassica,medium-high,Brassica block - nettable bed,,#6A9A1F,1.0,solid,21
4,3,CROP,Broccoli,Belstar F1,Broccoli:Belstar F1:2026-02-14,Brassica,medium-high,Brassica block - nettable bed,,#6A9A1F,1.0,solid,21
4,4,CROP,Broccoli,Happy Rich F1,Broccoli:Happy Rich F1:2026-02-21,Brassica,medium-high,Brassica block - offset 7 days,,#6A9A1F,1.0,solid,22
4,5,CROP,Broccoli,Happy Rich F1,Broccoli:Happy Rich F1:2026-02-21,Brassica,medium-high,Brassica block - offset 7 days,,#6A9A1F,1.0,solid,22
4,6,CROP,Broccoli,Happy Rich F1,Broccoli:Happy Rich F1:2026-02-21,Brassica,medium-high,Brassica block - offset 7 days,,#6A9A1F,1.0,solid,22
4,7,CROP,Broccoli,Happy Rich F1,Broccoli:Happy Rich F1:2026-02-21,Brassica,medium-high,Brassica block - offset 7 days,,#6A9A1F,1.0,solid,22
4,8,CROP,Broccoli,Happy Rich F1,Broccoli:Happy Rich F1:2026-02-21,Brassica,medium-high,Brassica block - offset 7 days,,#6A9A1F,1.0,solid,22
