crop,variety,supplier,order_date,stock_quantity,season,water,sow,method,transplant_after,mature_after,rows/pattern,count_ft,count_sq_ft,lo_yield,hi_yield,harvest_info,packet_type,notes,url
Tomatoes,Bo Mango,SDSC,,,warm,medium-high,,transplant,50,80,1,0.5,,5,15,,single,organic,https://sandiegoseedcompany.com/product/vegetables/tomatoes/organic-bo-mango-tomato-seeds/
Tomatoes,Dwarf Wilpena,SDSC,,,warm,medium-high,,transplant,50,80,1,0.5,,5,15,,single,"organic, dwarf - no trellis required",https://sandiegoseedcompany.com/product/vegetables/tomatoes/organic-dwarf-wilpena-tomato-seeds/
Tomatoes,Dwarf Lucky Swirl,SDSC,,,warm,medium-high,,transplant,50,90,1,0.5,,5,15,,single,"organic, dwarf - no trellis required, container-friendly",https://sandiegoseedcompany.com/product/vegetables/tomatoes/organic-dwarf-lucky-swirl-tomato-seeds/
Tomatoes,Dwarf Franklin County,SDSC,,,warm,medium-high,,transplant,50,75,1,0.5,,5,15,,single,"organic, dwarf - no trellis required, high-yielding",https://sandiegoseedcompany.com/product/vegetables/tomatoes/organic-dwarf-franklin-county-tomato-seeds/
Tomatoes,Rainbow Cherry,SDSC,,,warm,medium-high,,transplant,50,80,1,0.5,,5,15,,single,,https://sandiegoseedcompany.com/product/vegetables/tomatoes/rainbow-cherry-tomato-seeds/
Tomatoes,Gardener's Delight,SDSC,,,warm,medium-high,,transplant,50,65,1,0.5,,5,15,,single,"organic, indeterminate cherry, requires support",https://sandiegoseedcompany.com/product/vegetables/tomatoes/organic-gardeners-delight-tomato-seeds/
Tomatoes,Sweetie Cherry,SDSC,,,warm,medium-high,,transplant,50,85,1,0.5,,5,15,,single,"organic, indeterminate cherry, crack-free",https://sandiegoseedcompany.com/product/vegetables/tomatoes/organic-sweetie-cherry-tomato/
Tomatoes,Thornburn's Terra Cotta,SDSC,,,warm,medium-high,,transplant,50,65,1,0.5,,5,15,,single,"organic, indeterminate, heirloom",https://sandiegoseedcompany.com/product/vegetables/tomatoes/organic-thornburns-terra-cotta-tomato-seeds/
Tomatoes,Hillbilly,SDSC,,,warm,medium-high,,transplant,50,85,1,0.5,,5,15,,single,"organic, indeterminate beefsteak, 1-2 lb fruits",https://sandiegoseedcompany.com/product/vegetables/tomatoes/organic-hillbilly-tomato-seeds/
Tomatoes,Dirty Girl,SDSC,,,warm,medium-high,,transplant,50,80,1,0.5,,5,15,,single,"indeterminate, drought-tolerant",https://sandiegoseedcompany.com/product/vegetables/tomatoes/dirty-girl-tomato-seeds/
Tomatoes,Dixie Giant,SDSC,,,warm,medium-high,,transplant,50,80,1,0.5,,5,15,,single,"indeterminate beefsteak, 1-2 lb yellow fruits",https://sandiegoseedcompany.com/product/vegetables/tomatoes/dixie-giant-tomato-seeds/
Tomatoes,Jolene F1,JS,,,warm,medium-high,,transplant,50,80,1,0.5,,5,15,,single,beefsteak,https://www.johnnyseeds.com/vegetables/tomatoes/beefsteak-tomatoes/jolene-f1-tomato-seed-4778.html
Tomatoes,Verona F1,JS,,,warm,medium-high,,transplant,50,80,1,0.5,,5,15,,single,"organic, paste",https://www.johnnyseeds.com/vegetables/tomatoes/paste-tomatoes/verona-organic-f1-tomato-seed-3811G.html
Peppers (Sweet),Italian Pepperoncini,SDSC,,,warm,medium,,transplant,60,90,1,0.67,,1,5,,single,,https://sandiegoseedcompany.com/product/vegetables/peppers/italian-pepperoncini-pepper-seeds/
Peppers (Sweet),Yolo,SDSC,,,warm,medium,,transplant,60,90,1,0.67,,1,5,,single,,https://sandiegoseedcompany.com/product/vegetables/peppers/yolo-pepper-seeds/
Peppers (Sweet),Sweet Banana,SDSC,,,warm,medium,,transplant,60,90,1,0.67,,1,5,,single,,https://sandiegoseedcompany.com/product/vegetables/peppers/sweet-banana-pepper-seeds/
Peppers (Sweet),Orange Wonder Sweet Bell,SDSC,,,warm,medium,,transplant,60,90,1,0.67,,1,5,,single,organic,https://sandiegoseedcompany.com/product/vegetables/peppers/organic-orange-wonder-sweet-bell-pepper-seeds/
