crop,variety,plant_type,season,sow_window,seeding_method,start,plant_out,days_to_transplant,days_to_maturity,packet_type,water_needs,planting_pattern,plants_per_linear_ft,yield_per_plant,harvest_info,supplier,url,notes,yield_low,yield_high
Melons,Golden Delicious Cantaloupe,vegetable,warm-season,Apr–Jun,direct_sow,,,,,single,medium,,,,,SDSC,https://sandiegoseedcompany.com/product/fruit/melons/golden-delicious-cantaloupe-seeds/,,,
Melons,Saniara F1 Watermelon,vegetable,warm-season,Apr–Jun,direct_sow,,,,,single,medium,,,,seedless,JS,https://www.johnnyseeds.com/vegetables/watermelons/triploid-watermelons-seedless/saniara-f1-watermelon-seed-5206.html,,,
Sweet Potatoes (Slips),Mahon Yam,vegetable,warm-season,,slips,Apr–Jun,Apr–Jun,,,single,medium,,,"organic, slips",,JS,https://www.johnnyseeds.com/vegetables/sweet-potatoes/mahon-yam-organic-sweet-potato-slips-3200G.html,,2.0,3.0
Beans (Bush),Calypso Bush,vegetable,warm-season,Apr–Aug,direct_sow,,,,,single,medium,,,,,SDSC,https://sandiegoseedcompany.com/product/vegetables/beans/calypso-bush-bean-seeds/,,0.5,1.0
Beans (Bush Mixed),So Cal Flavor Trio Bush,vegetable,warm-season,Apr–Aug,direct_sow,,,,,single,medium,,,,,SDSC,https://sandiegoseedcompany.com/product/vegetables/beans/so-cal-flavor-trio-bush-bean-seeds/,,0.5,1.0
Beans (Pole),Blue Lake Pole,vegetable,warm-season,Apr–Aug,direct_sow,,,,,single,medium,,,,,SDSC,https://sandiegoseedcompany.com/product/vegetables/beans/blue-lake-pole-bean-seeds/,,0.5,1.0
Beans (Pole),Golden Pole,vegetable,warm-season,Apr–Aug,direct_sow,,,,,single,medium,,,,,SDSC,https://sandiegoseedcompany.com/product/vegetables/beans/golden-pole-bean-seeds/,,0.5,1.0
Fava Beans,Fava Bean,vegetable,cool-season,Oct–Dec,direct_sow,,,,,single,medium,,,,organic,SDSC,https://sandiegoseedcompany.com/product/vegetables/beans/organic-fava-bean-seeds/,,,
Amaranth,Orange Amaranth,vegetable,warm-season,Apr–Aug,direct_sow,,,,,single,low,,,,organic,SDSC,https://sandiegoseedcompany.com/product/vegetables/amaranth/organic-orange-amaranth-seeds/,,,
Cilantro/Coriander,Leisure,herb,cool-season,Sep–Mar,direct_sow,,,,,single,medium,,,,organic,SDSC,https://sandiegoseedcompany.com/product/herbs/cilantro/organic-leisure-cilantro-seeds/,,1.0,1.0
Cilantro/Coriander,Calypso,herb,cool-season,Sep–Mar,direct_sow,,,,,single,medium,,,,,JS,https://www.johnnyseeds.com/herbs/cilantro-coriander/calypso-cilantro-coriander-seed-3803.html,,1.0,1.0
Parsley,Flat Leaf Italian,herb,cool-season,Sep–Feb,direct_sow,,,,,single,medium,,,,,SDSC,https://sandiegoseedcompany.com/product/herbs/flat-leaf-italian-parsley-seeds/,,,
Dill,Bouquet,herb,cool-season,Sep–Feb,direct_sow,,,,,single,medium,,,,organic,SDSC,https://sandiegoseedcompany.com/product/herbs/organic-bouquet-dill-seeds/,,,
Basil (Italian),Genovese,herb,warm-season,Apr–Aug,transplant,,,,,single,medium-high,,,,organic,SDSC,https://sandiegoseedcompany.com/product/herbs/basil/organic-genovese-basil-seeds/,,1.0,1.0
Basil (Italian),Prospera Italian Large Leaf DMR F1,herb,warm-season,Apr–Aug,transplant,,,,,single,medium-high,,,,organic,JS,https://www.johnnyseeds.com/herbs/basil/italian-large-leaf-basil/prospera-italian-large-leaf-dmr-ill2-organic-f1-basil-seed-4589G.html,,1.0,1.0
Basil (Asian),Sweet Thai,herb,warm-season,Apr–Aug,transplant,,,,,single,medium-high,,,,,JS,https://www.johnnyseeds.com/herbs/basil/asian-basil/sweet-thai-basil-seed-945.html,,1.0,1.0
Basil (Asian),Thai Thai Prospera Active DMR,herb,warm-season,Apr–Aug,transplant,,,,,single,medium-high,,,,organic,JS,https://www.johnnyseeds.com/herbs/basil/asian-basil/thai-thai-prospera-active-dmr-organic-basil-seed-4968G.html,,1.0,1.0
Basil (Asian),Everleaf Thai Towers,herb,warm-season,Apr–Aug,transplant,,,,,single,medium-high,,,,,JS,https://www.johnnyseeds.com/herbs/basil/asian-basil/everleaf-thai-towers-basil-seed-4308.html,,1.0,1.0
Holy Basil (Tulsi),Holy Basil Kapoor Tulsi,herb,warm-season,Apr–Aug,transplant,,,,,single,medium,,,,organic,SDSC,https://sandiegoseedcompany.com/product/herbs/basil/organic-holy-basil-kapoor-tulsi-seeds/,,1.0,1.0
Lavender,Lavender - English,herb,perennial,,perennial,,,,,single,low,,,,,SDSC,https://sandiegoseedcompany.com/product/flowers/english-lavender-seeds/,,,
Lavender,Lavender - Ellagance Purple,herb,perennial,,perennial,,,,,single,low,,,,,JS,https://www.johnnyseeds.com/herbs/lavender/ellagance-purple-lavender-seed-72.html,,,
Marjoram,Marjoram,herb,perennial,,perennial,,,,,single,low,,,organic,,SDSC,https://sandiegoseedcompany.com/product/herbs/organic-marjoram-seeds/,,,
Mexican Tarragon,Mexican Tarragon,herb,perennial,,perennial,,,,,single,low,,,,,SDSC,https://sandiegoseedcompany.com/product/herbs/mexican-tarragon-seeds/,,,
Oregano,Oregano,herb,perennial,,perennial,,,,,single,low,,,,,SDSC,https://sandiegoseedcompany.com/product/herbs/oregano-seeds/,,,
Rosemary,Rosemary - Primed,herb,perennial,,perennial,,,,,single,low,,,,,JS,https://www.johnnyseeds.com/herbs/rosemary/primed-rosemary-herb-seed-932E.html,,,
Sage,Sage - Broad Leaf,herb,perennial,,perennial,,,,,single,low,,,,,SDSC,https://sandiegoseedcompany.com/product/herbs/broad-leaf-sage-seeds/,,,
Thyme,Thyme - Summer,herb,perennial,,perennial,,,,,single,low,,,,,JS,https://www.johnnyseeds.com/herbs/thyme/summer-thyme-seed-2250.html,,,
Lemon Balm,Lemon Balm,herb,perennial,,perennial,,,,,single,medium,,,organic,,SDSC,https://sandiegoseedcompany.com/product/herbs/organic-lemon-balm-seeds/,,,
Shiso,Shiso - Bicolor,herb,perennial,,perennial,,,,,single,medium,,,,,SDSC,https://sandiegoseedcompany.com/product/herbs/bicolor-shisho-seeds/,,,
Shiso,Shiso - Red,herb,perennial,,perennial,,,,,single,medium,,,,,JS,https://www.johnnyseeds.com/herbs/shiso/red-shiso-herb-seed-937.html,,,
Chives,Chinese Leeks/Garlic Chives,herb,perennial,,perennial,,,,,single,medium,,,,,JS,https://www.johnnyseeds.com/herbs/chives/chinese-leeks-garlic-chives/chinese-leeks-garlic-chives-herb-seed-3299.html,,,
Chives,Purly Chive,herb,perennial,,perennial,,,,,single,medium,,,,,JS,https://www.johnnyseeds.com/herbs/chives/standard-chives/purly-chive-seed-793.html,,,
Lovage,Lovage,herb,perennial,,perennial,,,,,single,medium,,,organic,,JS,https://www.johnnyseeds.com/herbs/lovage/lovage-organic-herb-seed-927G.html,,,
Stevia,Stevia,herb,perennial,,perennial,,,,,single,medium,,,organic,,JS,https://www.johnnyseeds.com/herbs/stevia/stevia-organic-herb-seed-2305G.html,,,
Chamomile,Chamomile - Common,herb,perennial,,perennial,,,,,single,medium,,,,,JS,https://www.johnnyseeds.com/herbs/chamomile/common-chamomile-herb-seed-914.html,,,
Echinacea,Echinacea Purpurea,herb,perennial,,perennial,,,,,single,medium,,,organic,,JS,https://www.johnnyseeds.com/herbs/echinacea-coneflower/echinacea-purpurea-organic-echinacea-seed-956.html,,,
Angelica,Angelica,herb,perennial,,perennial,,,,,single,medium,,,,,JS,https://www.johnnyseeds.com/herbs/angelica/angelica-herb-seed-4550.html,,,
Caraway,Caraway - Arterner,herb,perennial,,perennial,,,,,single,medium,,,,,JS,https://www.johnnyseeds.com/herbs/caraway/arterner-caraway-seed-796.html,,,
Cumin,Cumin,herb,perennial,,perennial,,,,,single,medium,,,,,JS,https://www.johnnyseeds.com/herbs/herbs-for-salad-mix/cumin-herb-seed-2931.html,,,
Rue,Rue,herb,perennial,,perennial,,,,,single,medium,,,,,JS,https://www.johnnyseeds.com/herbs/rue/rue-herb-seed-974.html,,,
Mexican Mint Marigold,Mexican Mint Marigold,herb,perennial,,perennial,,,,,single,medium,,,,,JS,https://www.johnnyseeds.com/herbs/mexican-mint-marigold/mexican-mint-marigold-herb-seed-2273.html,,,
Poppies,California Yellow Poppy,flower,cool-season,Sep–Jan,direct_sow,,,,,single,low-medium,,,,,SDSC,https://sandiegoseedcompany.com/product/flowers/california-yellow-poppy-seeds/,,,
